행정구역,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
광주광역시 동구 (2911000000),1325,1104,1165,1281,1181,1272,1045,952,928,874,1227,996,836,793,729,618,586,497,488,389,308,262,230,221,154,147,87,66,61,55,38,25,23,17,15,52
광주광역시 동구 충장동(2911052500),83,66,68,79,52,64,58,54,65,45,58,43,31,29,36,27,22,22,26,17,19,11,9,18,6,9,5,3,2,4,1,0,1,0,3,3
광주광역시 동구 동명동(2911054500),66,51,62,55,55,77,61,51,49,51,66,61,39,43,46,30,29,33,38,26,14,16,11,14,13,10,9,2,5,2,6,0,0,1,1,3
광주광역시 동구 계림1동(2911056000),101,92,92,87,80,116,71,60,67,71,109,77,45,58,53,38,47,41,27,22,22,17,14,14,6,14,3,4,7,4,6,2,3,1,0,3
광주광역시 동구 계림2동(2911057000),107,96,105,115,114,123,109,93,84,106,116,101,101,71,65,70,69,45,38,36,23,30,21,21,15,20,8,6,5,1,2,2,0,0,2,4
광주광역시 동구 산수1동(2911059000),98,84,80,104,103,91,65,83,76,67,98,76,78,67,54,50,42,40,36,28,23,18,18,16,14,11,4,3,6,5,2,2,0,1,3,4
광주광역시 동구 산수2동(2911060000),147,126,120,122,121,150,132,112,94,88,150,114,88,86,89,71,62,50,49,47,47,28,25,18,15,11,10,8,6,3,4,1,3,5,3,1
광주광역시 동구 지산1동(2911062000),60,54,48,67,53,56,45,42,42,38,41,60,34,50,33,25,30,25,16,15,10,11,12,8,6,8,2,1,2,4,1,2,0,0,1,6
광주광역시 동구 지산2동(2911063000),58,66,54,58,69,60,53,42,59,48,77,51,56,44,43,39,40,22,33,15,12,14,13,12,9,5,4,0,1,4,3,3,1,2,0,1
광주광역시 동구 서남동(2911065500),50,27,40,44,51,44,49,30,26,28,49,33,35,27,25,17,30,14,19,29,7,9,13,5,3,2,7,4,3,4,0,0,2,1,0,0
광주광역시 동구 학동(2911068500),121,104,115,113,112,117,94,95,81,87,114,80,67,66,55,45,49,46,34,26,21,29,22,18,8,14,8,5,5,3,0,2,1,1,1,9
광주광역시 동구 학운동(2911071000),190,147,180,190,170,179,149,130,144,109,159,144,132,134,130,97,86,87,83,66,53,47,36,42,27,19,14,12,9,11,7,6,6,0,0,5
